Coor_X,Coor_Y,Z,Ag,As_,Au,B,Ba,Be,Bi,Cd,Co,Cr,Cu,F,Hg,La,Li,Mn,Mo,Nb,Ni,P,Pb,Sb,Sn,Sr,Th,Ti,U,V,W,Y,Zn,Zr,Al2O3,CaO,Fe2O3,K2O,MgO,Na2O,SiO2,row,col
40484824.27,4072181.966,0,48.8371,6.67906,1.92642,34.0351,662.32,1.86753,0.178956,0.0484215,18.2724,91.3097,31.5646,369.526,23.2621,31.654,24.0468,704.203,0.421386,14.2706,38.6553,405.995,28.7109,0.36532,2.92265,205.577,8.89045,4779.85,2.19353,97.895,1.8204,23.0808,41.0484,371.487,13.4583,3.64587,4.79773,2.25388,1.95165,2.01071,69.9074,101,0
40486609.65,4072178.98,0,40.3818,6.34629,1.27607,33.7749,664.943,1.85409,0.177433,0.0443982,17.3872,91.913,29.9769,370.099,22.5024,30.63,24.1514,706.026,0.377673,13.6798,36.8007,413.717,28.0018,0.363162,2.79433,201.693,8.71505,4763.75,2.09079,97.4357,1.42395,23.1073,41.2486,365.529,13.5229,2.85436,4.89258,2.27319,1.98863,2.01327,69.9044,101,1
40488395.03,4072176.368,0,37.7265,6.08808,1.1273,32.1284,639.396,1.78791,0.162022,0.0403674,16.4464,86.1148,28.4279,354.626,20.1997,28.5811,23.3651,689.569,0.344973,12.8465,34.6204,401.948,27.3561,0.346152,2.61842,189.826,8.34806,4612.04,2.01131,93.1608,1.34588,22.4028,39.3098,349.953,13.3711,2.75498,4.78118,2.22402,1.90334,1.95156,69.266,101,2
40491073.1,4072173.15,0,41.8905,6.55097,1.27423,32.5714,657.187,1.79519,0.18043,0.0466102,16.8285,90.2067,30.7825,372.593,21.4616,29.7913,23.733,718.417,0.370205,12.9763,35.2277,425.981,29.3116,0.36,2.76191,191.513,8.62063,4698.04,2.12766,95.1806,1.43028,22.9976,40.9486,359.137,13.4795,3.24721,4.94939,2.25375,2.09487,1.97917,69.3796,101,3
40492858.48,4072171.471,0,44.8418,6.88384,1.341,31.3757,650.669,1.74828,0.18457,0.0495489,16.2409,86.8899,30.9599,372.409,20.8738,29.0911,23.3497,729.312,0.370843,12.4567,34.4951,429.791,31.681,0.355992,2.76849,186.959,8.50093,4623.24,2.07664,93.8297,1.46943,22.5534,40.4387,357.954,13.4303,3.85994,4.91788,2.24824,2.06365,1.95335,68.9439,101,4
40494643.86,4072170.165,0,44.2531,6.93084,1.28035,31.2188,656.907,1.72603,0.179009,0.0514244,16.2971,85.4613,31.2381,375.633,20.5633,28.7076,23.5038,737.81,0.359341,12.2952,34.0168,445.162,31.8585,0.358569,2.70535,185.096,8.49503,4630.12,2.11635,93.7786,1.48119,22.6355,41.192,363.235,13.4894,3.30615,5.0357,2.27342,2.12722,1.96133,68.8664,101,5
40496429.24,4072169.232,0,39.3629,6.58505,1.03842,29.9506,645.259,1.67026,0.171738,0.0498908,15.475,80.5928,29.6543,367.362,19.2099,27.274,23.1123,728.031,0.332524,11.8511,32.0294,444.25,30.8365,0.349235,2.4759,175.317,8.31516,4508.61,2.08563,91.4379,1.40775,22.086,40.4511,356.726,13.3807,2.80802,4.99498,2.26035,2.08868,1.94239,68.4933,101,6
40499107.31,4072168.532,0,46.9453,7.07153,2.06832,29.1912,643.217,1.62783,0.180823,0.0521334,15.3016,78.833,30.3887,364.572,18.4938,26.8019,22.8538,745.112,0.368149,11.6293,31.8163,462.015,31.2967,0.432205,2.53127,172.586,8.39797,4491.66,2.12089,91.7911,1.6778,21.9573,41.2852,363.16,13.3661,2.90747,5.04787,2.24842,2.1195,1.91876,67.9534,101,7
40476796.08,4074419.536,0,39.0072,6.67342,0.966604,28.7964,660.356,1.61853,0.169598,0.0534174,13.4781,72.7185,28.2561,360.666,17.5055,25.4874,22.8483,723.652,0.342028,11.6857,27.2753,487.17,31.9179,0.349448,2.38429,174.574,7.99115,4353.62,2.02409,86.4698,1.37917,21.6309,42.4013,366.692,13.4373,2.57181,5.1313,2.29273,2.00771,1.94329,67.4237,101,8
40484828.22,4074401.481,0,41.0902,6.97648,0.964183,27.9067,668.558,1.59377,0.167121,0.0595112,13.055,73.3552,29.4298,353.199,17.6337,25.3269,22.5017,736.557,0.368351,11.5228,27.2234,491.655,33.5169,0.344427,2.38779,171.809,7.86225,4388.19,2.04058,87.1092,1.39834,21.6447,42.154,376.822,13.3735,2.63246,5.17761,2.29212,2.02779,1.94924,67.4048,101,9
