Ag,As_,Au,B,Ba,Be,Bi,Cd,Co,Cr,Cu,F,Hg,La,Li,Mn,Mo,Nb,Ni,P,Pb,Sb,Sn,Sr,Th,Ti,U,V,W,Y,Zn,Zr,Al2O3,CaO,Fe2O3,K2O,MgO,Na2O,SiO2,Coor_X,Coor_Y
34,6.1,0.69,34,650,1.6,0.18,0.05,13,63,23,390,20,34,21,673,0.28,9,17,502,38,0.41,2.5,171,10.5,4271,2.3,71,1.4,22,36,404,13.58,3.34,4.68,2.34,1.85,2.03,67,40484824.27,4072181.966
39,7.1,0.69,22,480,1.5,0.17,0.06,15,73,30,289,20,26,20,600,0.3,7,29,490,30,0.28,2.3,123,5.8,4097,1.6,97,1.2,20,32,267,12.75,2.25,5.23,2.1,2.38,1.86,67.51,40486609.65,4072178.98
27,9.1,0.69,20,633,1.3,0.15,0.1,20,103,38,405,11,38,21,2000,0.43,19,45,522,30,0.34,1.9,120,8,7744,2.8,108,2.2,23,54,692,12.41,2.33,7.03,1.86,4.29,1.52,64.41,40488395.03,4072176.368
60,6.6,0.4,17,983,1.9,0.17,0.12,8,61,34,289,12,27,20,673,2.3,9.3,22,550,30,0.25,1.9,190,5.8,3522,2.2,88,1.1,22,36,400,13.24,1.72,4.83,2.79,1.29,2.48,69.59,40491073.1,4072173.15
37,6.6,0.4,31,900,1.6,0.15,0.02,1.6,56,23,230,20,25,21,557,0.25,7.3,8.3,430,35,0.28,2.5,263,6.7,3547,1.6,62,1,18,30,475,13.9,1.66,4.08,2.52,0.96,2.41,70.12,40492858.48,4072171.471
33,12,1.3,27,890,2,0.18,0.05,11,56,34,289,32,26,21,427,0.46,5.8,19,460,33,0.36,2.3,347,4.9,3547,1.9,78,1,18,36,246,15.58,2.16,5.01,2.4,0.97,2.62,65.97,40494643.86,4072170.165
27,5.8,0.2,17,1340,1.5,0.1,0.05,1.6,37,21,187,21,15,14,513,0.25,5.4,16,290,34,0.23,1.5,383,4.8,2358,1.1,40,0.68,13,16,271,14.66,1.86,2.77,3.11,0.56,3.28,69.59,40496429.24,4072169.232
29,5.3,0.69,20,1733,2,0.12,0.05,7.7,31,16,159,20,16,14,533,0.28,5.4,9,230,45,0.25,2,483,4.8,1998,1,38,0.64,13,12,321,15.41,1.66,2.34,3.46,0.46,3.37,69.59,40499107.31,4072168.532
30,5.3,1,34,583,1.7,0.1,0.04,24,159,37,318,22,45,22,833,0.2,15,57,292,22,0.33,2.8,167,8.4,4996,2.2,120,1.4,26,32,342,13.33,2.42,4.5,2.18,2.23,1.91,74.85,40476796.08,4074419.536
37,5.8,1.2,24,683,1.6,0.23,0.09,16,106,31,522,14,43,26,877,0.38,17,38,461,28,0.36,2.4,171,7.8,3847,2.2,92,1.2,26,46,262,14.49,4.47,5.49,2.34,2.18,1.67,63.87,40484828.22,4074401.481
