Coor_Y,Coor_X,Ag,As_,Cu,Mn,Fe2O3,row,col
4068843.89,40476796.08,0.292938,0.32428,0.302592,0.317932,0.308119,101,0
4068843.89,40477796.08,0.317646,0.347888,0.327824,0.344035,0.334773,101,1
4068843.89,40478796.08,0.317329,0.34648,0.32791,0.345582,0.336898,101,2
4068843.89,40479796.08,0.343126,0.371227,0.354082,0.372333,0.364254,101,3
4068843.89,40480796.08,0.347183,0.374624,0.358352,0.378122,0.370547,101,4
4068843.89,40481796.08,0.36437,0.390856,0.375797,0.396138,0.389116,101,5
4068843.89,40482796.08,0.368133,0.394182,0.380004,0.400954,0.39438,101,6
4068843.89,40483796.08,0.363264,0.387124,0.375546,0.397429,0.391537,101,7
4068843.89,40484796.08,0.366111,0.390805,0.376671,0.397461,0.392073,101,8
4068843.89,40485796.08,0.382606,0.405874,0.393629,0.415161,0.410109,101,9
4068843.89,40486796.08,0.395324,0.417602,0.406646,0.428649,0.423668,101,10
4068843.89,40487796.08,0.401529,0.424354,0.413463,0.434964,0.431068,101,11
4068843.89,40488796.08,0.427182,0.450654,0.43891,0.45933,0.455319,101,12
4068843.89,40489796.08,0.460743,0.483191,0.471648,0.490691,0.486787,101,13
4068843.89,40490796.08,0.482555,0.502508,0.492006,0.509411,0.506231,101,14
4068843.89,40491796.08,0.507401,0.526149,0.515374,0.530126,0.527273,101,15
4068843.89,40492796.08,0.552242,0.569723,0.558456,0.571737,0.5687,101,16
4068843.89,40493796.08,0.535835,0.553971,0.54129,0.554248,0.551221,101,17
4068843.89,40494796.08,0.565885,0.581165,0.569907,0.581468,0.579131,101,18
4068843.89,40495796.08,0.574241,0.585849,0.575411,0.585193,0.583614,101,19
4068843.89,40496796.08,0.623913,0.632536,0.625002,0.633148,0.631691,101,20
4068843.89,40497796.08,0.616867,0.626658,0.617133,0.625147,0.622547,101,21
4068843.89,40498796.08,0.616336,0.627482,0.615718,0.624133,0.620595,101,22
4068843.89,40499796.08,0.601964,0.611574,0.601778,0.610447,0.606952,101,23
4068843.89,40500796.08,0.616815,0.627226,0.615843,0.623977,0.619584,101,24
4068843.89,40501796.08,0.63458,0.642648,0.634343,0.645008,0.64169,101,25
4068843.89,40502796.08,0.636774,0.64478,0.636635,0.647734,0.644858,101,26
4068843.89,40503796.08,0.604067,0.611149,0.603936,0.61715,0.615321,101,27
4068843.89,40504796.08,0.613566,0.621478,0.61366,0.627526,0.626076,101,28
4068843.89,40505796.08,0.580618,0.59041,0.582001,0.597394,0.596815,101,29
4068843.89,40506796.08,0.579076,0.591014,0.580408,0.595847,0.594567,101,30
4068843.89,40507796.08,0.570751,0.584853,0.573225,0.590594,0.590025,101,31
4068843.89,40508796.08,0.535382,0.548583,0.539123,0.560505,0.56107,101,32
4068843.89,40509796.08,0.516121,0.528307,0.521181,0.544211,0.545317,101,33
4068843.89,40510796.08,0.499158,0.51224,0.505804,0.530101,0.531279,101,34
4068843.89,40511796.08,0.471253,0.486578,0.480301,0.505865,0.506609,101,35
4068843.89,40512796.08,0.458604,0.477283,0.469643,0.495732,0.495696,101,36
4068843.89,40513796.08,0.46532,0.488308,0.478371,0.504508,0.50377,101,37
4068843.89,40514796.08,0.432249,0.457808,0.447506,0.47482,0.474582,101,38
4068843.89,40515796.08,0.426031,0.456033,0.443015,0.469732,0.47029,101,39
4068843.89,40516796.08,0.409805,0.439896,0.426818,0.453309,0.454986,101,40
4068843.89,40517796.08,0.432143,0.461693,0.44838,0.472827,0.475153,101,41
4068843.89,40518796.08,0.444212,0.470374,0.459012,0.483305,0.486222,101,42
4068843.89,40519796.08,0.449241,0.47644,0.463638,0.487575,0.490116,101,43
4068843.89,40520796.08,0.457286,0.484219,0.470634,0.494324,0.496555,101,44
4068843.89,40521796.08,0.477484,0.502474,0.488631,0.513316,0.513999,101,45
4068843.89,40522796.08,0.500421,0.521434,0.510524,0.537423,0.537255,101,46
4068843.89,40523796.08,0.53153,0.549545,0.540448,0.569212,0.567722,101,47
4068843.89,40524796.08,0.525906,0.544173,0.533355,0.564062,0.560374,101,48
4068843.89,40525796.08,0.521586,0.540287,0.528343,0.561318,0.555944,101,49
4068843.89,40526796.08,0.53745,0.558197,0.543535,0.577694,0.570099,101,50
4068843.89,40527796.08,0.505928,0.528567,0.512,0.547926,0.539001,101,51
4068843.89,40528796.08,0.471236,0.495423,0.477324,0.514465,0.504558,101,52
4068843.89,40529796.08,0.461463,0.486338,0.46736,0.503694,0.493828,101,53
4068843.89,40530796.08,0.479643,0.502094,0.487502,0.523831,0.515841,101,54
4068843.89,40531796.08,0.46135,0.483326,0.470144,0.50723,0.499857,101,55
4068843.89,40532796.08,0.480542,0.505315,0.489583,0.525465,0.518488,101,56
4068843.89,40533796.08,0.480984,0.50544,0.490331,0.525224,0.518866,101,57
4068843.89,40534796.08,0.47682,0.502639,0.486686,0.520954,0.515169,101,58
4068843.89,40535796.08,0.471678,0.499703,0.482,0.513491,0.508394,101,59
4068843.89,40536796.08,0.486584,0.515927,0.497037,0.527847,0.523138,101,60
4068843.89,40537796.08,0.476231,0.504888,0.485795,0.516563,0.512089,101,61
4068843.89,40538796.08,0.502536,0.531352,0.511562,0.541809,0.537677,101,62
4068843.89,40539796.08,0.504555,0.530483,0.512454,0.542583,0.5394,101,63
4068843.89,40540796.08,0.538086,0.561304,0.544735,0.573765,0.571192,101,64
4068843.89,40541796.08,0.54428,0.563188,0.549389,0.578049,0.576471,101,65
4068843.89,40542796.08,0.559907,0.575975,0.563074,0.590211,0.589062,101,66
4068843.89,40543796.08,0.575629,0.586348,0.57747,0.602164,0.602096,101,67
4068843.89,40544796.08,0.59004,0.597691,0.591202,0.614104,0.61468,101,68
4068843.89,40545796.08,0.620342,0.622032,0.620169,0.640448,0.642192,101,69
4068843.89,40546796.08,0.633583,0.631319,0.633095,0.651249,0.654109,101,70
4068843.89,40547796.08,0.661865,0.65747,0.662113,0.677525,0.68157,101,71
4068843.89,40548796.08,0.664746,0.658361,0.665077,0.679501,0.684352,101,72
4068843.89,40549796.08,0.678193,0.671428,0.678527,0.692336,0.697782,101,73
4068843.89,40550796.08,0.65036,0.644662,0.651927,0.66584,0.671416,101,74
4068843.89,40551796.08,0.633518,0.630768,0.636798,0.650518,0.655992,101,75
4068843.89,40552796.08,0.603007,0.602469,0.607876,0.622706,0.628116,101,76
4068843.89,40553796.08,0.594101,0.596298,0.599675,0.615203,0.62011,101,77
4068843.89,40554796.08,0.571898,0.575987,0.578366,0.594667,0.59919,101,78
4068843.89,40555796.08,0.558972,0.565036,0.566038,0.582558,0.586729,101,79
4068843.89,40556796.08,0.534878,0.540953,0.542395,0.559255,0.563459,101,80
4068843.89,40557796.08,0.51067,0.518452,0.518356,0.535399,0.539045,101,81
4069843.89,40476796.08,0.325343,0.352741,0.336201,0.352495,0.344697,100,0
4069843.89,40477796.08,0.330284,0.3564,0.341686,0.359495,0.352371,100,1
4069843.89,40478796.08,0.362786,0.387911,0.374681,0.393031,0.386547,100,2
