Coor_X,Coor_Y,Z,Ag,As_,Au,B,Ba,Be,Bi,Cd,Co,Cr,Cu,F,Hg,La,Li,Mn,Mo,Nb,Ni,P,Pb,Sb,Sn,Sr,Th,Ti,U,V,W,Y,Zn,Zr,Al2O3,CaO,Fe2O3,K2O,MgO,Na2O,SiO2,row,col
40484824.27,4072181.966,0,0.292938,0.32428,0.217619,0.327235,0.314769,0.323526,0.305154,0.329759,0.337373,0.324433,0.302592,0.319254,0.290014,0.317889,0.314292,0.317932,0.321849,0.333927,0.320502,0.286954,0.321272,0.317702,0.31721,0.297632,0.31865,0.312104,0.318534,0.303329,0.334083,0.327603,0.30024,0.325046,0.309486,0.300115,0.308119,0.316432,0.312017,0.313845,0.318471,101,0
40486609.65,4072178.98,0,0.317646,0.347888,0.242427,0.351675,0.339687,0.34784,0.330059,0.353239,0.362042,0.350477,0.327824,0.344243,0.305393,0.344028,0.339634,0.344035,0.346395,0.358829,0.346982,0.314537,0.34494,0.343111,0.343109,0.323345,0.343717,0.338311,0.344193,0.33015,0.35816,0.352796,0.326403,0.350205,0.335357,0.327879,0.334773,0.341285,0.339083,0.338749,0.343515,101,1
40488395.03,4072176.368,0,0.317329,0.34648,0.242821,0.351242,0.339744,0.347445,0.330395,0.351975,0.362058,0.351641,0.32791,0.344774,0.313517,0.345497,0.339971,0.345582,0.346907,0.358639,0.348387,0.317596,0.343576,0.343899,0.343975,0.324025,0.344221,0.339842,0.345193,0.332348,0.357438,0.35326,0.327415,0.350464,0.336452,0.330997,0.336898,0.341331,0.341801,0.338776,0.343707,101,2
40491073.1,4072173.15,0,0.343126,0.371227,0.269874,0.376379,0.365517,0.372573,0.356363,0.376704,0.387214,0.378057,0.354082,0.370531,0.340811,0.372131,0.366105,0.372333,0.372478,0.384181,0.375254,0.346286,0.368424,0.369992,0.370506,0.350608,0.369982,0.366656,0.371537,0.359797,0.382347,0.379073,0.354554,0.376443,0.363063,0.359455,0.364254,0.367015,0.369452,0.364512,0.369504,101,3
40492858.48,4072171.471,0,0.347183,0.374624,0.279186,0.380032,0.370139,0.376593,0.360572,0.379839,0.391027,0.382952,0.358352,0.375465,0.339312,0.377494,0.370853,0.378122,0.377417,0.388007,0.380738,0.353766,0.372139,0.374835,0.375579,0.356052,0.374702,0.37222,0.376204,0.366185,0.386141,0.38352,0.359944,0.38131,0.368455,0.366003,0.370547,0.371548,0.375803,0.368987,0.374084,101,4
40494643.86,4072170.165,0,0.36437,0.390856,0.298138,0.39634,0.387191,0.393064,0.377959,0.396232,0.407353,0.400345,0.375797,0.392528,0.33938,0.395183,0.388134,0.396138,0.394762,0.404637,0.398536,0.373783,0.388445,0.39212,0.393128,0.373764,0.391722,0.390173,0.393766,0.384798,0.402405,0.400511,0.378243,0.398594,0.386231,0.385387,0.389116,0.388513,0.394669,0.385993,0.391109,101,5
40496429.24,4072169.232,0,0.368133,0.394182,0.304627,0.399703,0.391149,0.396836,0.382349,0.400101,0.411357,0.404366,0.380004,0.396862,0.355199,0.399763,0.392271,0.400954,0.400117,0.408315,0.403063,0.380206,0.39166,0.39634,0.396815,0.377713,0.396032,0.394697,0.3986,0.390124,0.406019,0.404489,0.382919,0.402872,0.390737,0.391044,0.39438,0.392516,0.400583,0.389981,0.39509,101,6
40499107.31,4072168.532,0,0.363264,0.387124,0.305049,0.392795,0.386032,0.390401,0.377745,0.393313,0.404288,0.399742,0.375546,0.391058,0.364015,0.395337,0.387117,0.397429,0.395223,0.401641,0.398998,0.379861,0.385182,0.391157,0.392241,0.374355,0.390224,0.390769,0.393464,0.387668,0.398842,0.398759,0.379682,0.397427,0.386685,0.389594,0.391537,0.386933,0.397862,0.384743,0.389656,101,7
40476796.08,4074419.536,0,0.366111,0.390805,0.307492,0.39373,0.387221,0.391745,0.380702,0.397286,0.402594,0.398125,0.376671,0.392634,0.359085,0.394636,0.388113,0.397461,0.398136,0.402001,0.39684,0.381427,0.388719,0.391888,0.392393,0.374739,0.390932,0.390762,0.394123,0.387098,0.400648,0.39909,0.381216,0.398945,0.387164,0.389234,0.392073,0.388174,0.397709,0.385643,0.39039,101,8
40484828.22,4074401.481,0,0.382606,0.405874,0.324227,0.408919,0.40359,0.407318,0.396445,0.411982,0.417414,0.415495,0.393629,0.408302,0.379941,0.411771,0.404418,0.415161,0.414767,0.418,0.414663,0.400496,0.403555,0.40807,0.409426,0.391814,0.406897,0.408367,0.410832,0.405634,0.415963,0.41538,0.398583,0.415849,0.404115,0.406966,0.410109,0.404233,0.415846,0.401896,0.406666,101,9
