FID,level,dx,dy
0,4,40491796.103299998000000,4136419.821829999800000
1,4,40494891.734499998000000,4139925.558009999800000
2,4,40496201.424599998000000,4141473.373610000100000
3,4,40497788.927800000000000,4144291.191740000200000
4,4,40510757.093099996000000,4144164.660680000200000
5,4,40512943.123000003000000,4144566.997490000000000
6,4,40513412.516000003000000,4141267.835690000100000
7,4,40511548.355400003000000,4141401.947960000000000
8,4,40511159.429899998000000,4139645.077250000100000
9,4,40511011.906400003000000,4138411.244380000000000
10,3,40514445.180399999000000,4143923.258599999800000
11,3,40515719.247000001000000,4142421.201200000000000
12,3,40518294.202500001000000,4139859.656870000100000
13,3,40516309.340999998000000,4146712.793779999900000
14,3,40519514.624200001000000,4146525.036609999800000
15,4,40516215.462399997000000,4145613.073179999800000
16,2,40519984.017099999000000,4144164.660680000200000
17,2,40521740.887800001000000,4143038.117630000200000
18,2,40520064.484499998000000,4141911.574579999800000
19,2,40519112.287400000000000,4141200.779560000200000
20,2,40520238.830399998000000,4140583.863119999900000
21,2,40518897.707699999000000,4136359.326669999900000
22,2,40516537.331799999000000,4137660.215679999900000
23,2,40513855.086499996000000,4137164.000279999800000
24,2,40514834.105999999000000,4141898.163350000000000
25,1,40516295.929700002000000,4142783.304320000100000
26,1,40507417.697600000000000,4144473.118900000100000
27,1,40520480.232500002000000,4136882.364519999800000
28,1,40517342.005400002000000,4135742.410240000100000
29,1,40514525.647799999000000,4133650.258859999900000
30,1,40523202.711599998000000,4138572.179099999800000
31,1,40524114.674999997000000,4137298.112550000200000
32,1,40527601.593999997000000,4140114.470180000200000
33,1,40524664.535300002000000,4144701.109759999900000
34,1,40525536.265000001000000,4147209.009170000000000
35,1,40524812.058799997000000,4147638.168430000100000
36,1,40516765.322700001000000,4149435.272830000100000
37,1,40524785.236299999000000,4151889.527330000000000
38,1,40527507.715400003000000,4151433.545620000000000
39,1,40527641.827600002000000,4152721.023399999800000
40,1,40525777.667099997000000,4156918.737389999900000
41,1,40528634.258400001000000,4154585.183929999800000
42,1,40530350.895499997000000,4154705.884970000000000
43,1,40530404.540399998000000,4152694.200939999900000
44,1,40535058.236100003000000,4156087.241330000100000
45,1,40537043.097599998000000,4155792.194339999900000
46,1,40534749.777900003000000,4153498.874549999800000
47,1,40533971.926700003000000,4152895.369349999800000
48,1,40534079.216499999000000,4152077.284510000100000
49,1,40536707.817000002000000,4152211.396780000100000
50,1,40535473.984099999000000,4150467.937289999800000
51,1,40539336.417400002000000,4150065.600490000100000
52,1,40540999.409500003000000,4157535.653830000200000
53,1,40538290.341700003000000,4145599.661950000100000
54,1,40536908.985399999000000,4145934.942629999900000
55,1,40536922.396600001000000,4144982.745519999900000
56,1,40534642.487999998000000,4145277.792510000100000
57,1,40533663.468500003000000,4144043.959640000000000
58,1,40531598.139500000000000,4143668.445290000200000
59,1,40533086.785700001000000,4142166.387889999900000
60,1,40532992.907099999000000,4139832.834420000200000
61,1,40530337.484200001000000,4140610.685579999800000
62,1,40532899.028499998000000,4135273.017299999900000
63,2,40511990.925899997000000,4142059.098069999800000
64,2,40524154.908699997000000,4139980.357919999900000
65,2,40522800.374799997000000,4135098.671350000000000
66,2,40532523.514200002000000,4142769.893089999900000
67,2,40536265.246500000000000,4154384.015519999900000
68,2,40537780.715099998000000,4155403.268759999900000
69,2,40536037.255599998000000,4151969.994700000200000
70,2,40526220.237599999000000,4136211.803179999800000
71,3,40525764.255900003000000,4143534.333019999800000
72,3,40543386.607900001000000,4147101.719360000000000
73,3,40544714.319399998000000,4143333.164619999900000
74,3,40546806.470799997000000,4146243.400839999800000
75,3,40548844.977200001000000,4148027.094010000100000
76,4,40544633.851999998000000,4146846.906049999900000
77,4,40546055.442100003000000,4145572.839499999800000
78,4,40545626.282799996000000,4147463.822480000100000
79,4,40546189.554300003000000,4150132.656620000000000
80,4,40549971.520300001000000,4150266.768889999900000
81,2,40542260.064900003000000,4145693.540540000000000
82,2,40542850.158900000000000,4144996.156750000100000
83,2,40546739.414600000000000,4148751.300259999900000
84,1,40544151.047899999000000,4148898.823750000000000
85,1,40544218.104000002000000,4150749.573049999800000
86,1,40544995.955100000000000,4150762.984280000000000
87,1,40548214.649599999000000,4153230.650020000100000
88,1,40550387.268299997000000,4152721.023399999800000
89,1,40547758.667900003000000,4154665.651290000000000
90,1,40548670.631300002000000,4155778.783110000200000
91,1,40551929.559400000000000,4149636.441230000000000
92,1,40544043.758000001000000,4155564.203480000100000
93,1,40545787.217500001000000,4156972.382300000200000
94,1,40545921.329800002000000,4159279.113309999900000
96,1,40558152.368699998000000,4139604.843560000000000
97,2,40558772.748000003000000,4149531.589819999900000
98,1,40552108.790600002000000,4124254.576859999900000
99,1,40553103.626000002000000,4120529.236080000200000
100,1,40546266.778999999000000,4112189.552730000100000
101,1,40526496.794799998000000,4131483.007989999800000
102,1,40531703.805200003000000,4127418.999859999900000
103,1,40528084.298000000000000,4119312.150309999900000
104,1,40527343.463200003000000,4112263.636220000200000
105,1,40520951.116999999000000,4111459.301270000200000
106,1,40535238.645599999000000,4110972.466970000000000
107,1,40518241.778300002000000,4117766.980560000100000
108,4,40527893.797600001000000,4109003.963030000200000
109,4,40530793.636699997000000,4121217.154120000100000
110,3,40532000.139100000000000,4114464.973950000000000
111,3,40530031.635200001000000,4110612.632910000200000
112,3,40518114.777999997000000,4098251.274859999800000
113,3,40516929.442299999000000,4095478.435980000100000
