FID,level,dx,dy
4,4,40510757.093099996000000,4144164.660680000200000
5,4,40512943.123000003000000,4144566.997490000000000
6,4,40513412.516000003000000,4141267.835690000100000
7,4,40511548.355400003000000,4141401.947960000000000
8,4,40511159.429899998000000,4139645.077250000100000
9,4,40511011.906400003000000,4138411.244380000000000
10,3,40514445.180399999000000,4143923.258599999800000
11,3,40515719.247000001000000,4142421.201200000000000
13,3,40516309.340999998000000,4146712.793779999900000
14,3,40519514.624200001000000,4146525.036609999800000
15,4,40516215.462399997000000,4145613.073179999800000
24,2,40514834.105999999000000,4141898.163350000000000
25,1,40516295.929700002000000,4142783.304320000100000
33,1,40524664.535300002000000,4144701.109759999900000
35,1,40524812.058799997000000,4147638.168430000100000
63,2,40511990.925899997000000,4142059.098069999800000
66,2,40532523.514200002000000,4142769.893089999900000
76,4,40544633.851999998000000,4146846.906049999900000
77,4,40546055.442100003000000,4145572.839499999800000
78,4,40545626.282799996000000,4147463.822480000100000
81,2,40542260.064900003000000,4145693.540540000000000
83,2,40546739.414600000000000,4148751.300259999900000
102,1,40531703.805200003000000,4127418.999859999900000
103,1,40528084.298000000000000,4119312.150309999900000
104,1,40527343.463200003000000,4112263.636220000200000
108,4,40527893.797600001000000,4109003.963030000200000
109,4,40530793.636699997000000,4121217.154120000100000
