FID,level,dx,dy
0,4,"40,491,796.103299998000000","4,136,419.821829999800000"
1,4,"40,494,891.734499998000000","4,139,925.558009999800000"
2,4,"40,496,201.424599998000000","4,141,473.373610000100000"
3,4,"40,497,788.927800000000000","4,144,291.191740000200000"
4,4,"40,510,757.093099996000000","4,144,164.660680000200000"
5,4,"40,512,943.123000003000000","4,144,566.997490000000000"
6,4,"40,513,412.516000003000000","4,141,267.835690000100000"
7,4,"40,511,548.355400003000000","4,141,401.947960000000000"
8,4,"40,511,159.429899998000000","4,139,645.077250000100000"
9,4,"40,511,011.906400003000000","4,138,411.244380000000000"
10,3,"40,514,445.180399999000000","4,143,923.258599999800000"
11,3,"40,515,719.247000001000000","4,142,421.201200000000000"
12,3,"40,518,294.202500001000000","4,139,859.656870000100000"
13,3,"40,516,309.340999998000000","4,146,712.793779999900000"
14,3,"40,519,514.624200001000000","4,146,525.036609999800000"
15,4,"40,516,215.462399997000000","4,145,613.073179999800000"
16,2,"40,519,984.017099999000000","4,144,164.660680000200000"
17,2,"40,521,740.887800001000000","4,143,038.117630000200000"
18,2,"40,520,064.484499998000000","4,141,911.574579999800000"
19,2,"40,519,112.287400000000000","4,141,200.779560000200000"
20,2,"40,520,238.830399998000000","4,140,583.863119999900000"
21,2,"40,518,897.707699999000000","4,136,359.326669999900000"
22,2,"40,516,537.331799999000000","4,137,660.215679999900000"
23,2,"40,513,855.086499996000000","4,137,164.000279999800000"
24,2,"40,514,834.105999999000000","4,141,898.163350000000000"
25,1,"40,516,295.929700002000000","4,142,783.304320000100000"
26,1,"40,507,417.697600000000000","4,144,473.118900000100000"
27,1,"40,520,480.232500002000000","4,136,882.364519999800000"
28,1,"40,517,342.005400002000000","4,135,742.410240000100000"
29,1,"40,514,525.647799999000000","4,133,650.258859999900000"
30,1,"40,523,202.711599998000000","4,138,572.179099999800000"
31,1,"40,524,114.674999997000000","4,137,298.112550000200000"
32,1,"40,527,601.593999997000000","4,140,114.470180000200000"
33,1,"40,524,664.535300002000000","4,144,701.109759999900000"
34,1,"40,525,536.265000001000000","4,147,209.009170000000000"
35,1,"40,524,812.058799997000000","4,147,638.168430000100000"
36,1,"40,516,765.322700001000000","4,149,435.272830000100000"
37,1,"40,524,785.236299999000000","4,151,889.527330000000000"
38,1,"40,527,507.715400003000000","4,151,433.545620000000000"
39,1,"40,527,641.827600002000000","4,152,721.023399999800000"
40,1,"40,525,777.667099997000000","4,156,918.737389999900000"
41,1,"40,528,634.258400001000000","4,154,585.183929999800000"
42,1,"40,530,350.895499997000000","4,154,705.884970000000000"
43,1,"40,530,404.540399998000000","4,152,694.200939999900000"
44,1,"40,535,058.236100003000000","4,156,087.241330000100000"
45,1,"40,537,043.097599998000000","4,155,792.194339999900000"
46,1,"40,534,749.777900003000000","4,153,498.874549999800000"
47,1,"40,533,971.926700003000000","4,152,895.369349999800000"
48,1,"40,534,079.216499999000000","4,152,077.284510000100000"
49,1,"40,536,707.817000002000000","4,152,211.396780000100000"
50,1,"40,535,473.984099999000000","4,150,467.937289999800000"
51,1,"40,539,336.417400002000000","4,150,065.600490000100000"
52,1,"40,540,999.409500003000000","4,157,535.653830000200000"
53,1,"40,538,290.341700003000000","4,145,599.661950000100000"
54,1,"40,536,908.985399999000000","4,145,934.942629999900000"
55,1,"40,536,922.396600001000000","4,144,982.745519999900000"
56,1,"40,534,642.487999998000000","4,145,277.792510000100000"
57,1,"40,533,663.468500003000000","4,144,043.959640000000000"
58,1,"40,531,598.139500000000000","4,143,668.445290000200000"
59,1,"40,533,086.785700001000000","4,142,166.387889999900000"
60,1,"40,532,992.907099999000000","4,139,832.834420000200000"
61,1,"40,530,337.484200001000000","4,140,610.685579999800000"
62,1,"40,532,899.028499998000000","4,135,273.017299999900000"
63,2,"40,511,990.925899997000000","4,142,059.098069999800000"
64,2,"40,524,154.908699997000000","4,139,980.357919999900000"
65,2,"40,522,800.374799997000000","4,135,098.671350000000000"
66,2,"40,532,523.514200002000000","4,142,769.893089999900000"
67,2,"40,536,265.246500000000000","4,154,384.015519999900000"
68,2,"40,537,780.715099998000000","4,155,403.268759999900000"
69,2,"40,536,037.255599998000000","4,151,969.994700000200000"
70,2,"40,526,220.237599999000000","4,136,211.803179999800000"
71,3,"40,525,764.255900003000000","4,143,534.333019999800000"
72,3,"40,543,386.607900001000000","4,147,101.719360000000000"
73,3,"40,544,714.319399998000000","4,143,333.164619999900000"
74,3,"40,546,806.470799997000000","4,146,243.400839999800000"
75,3,"40,548,844.977200001000000","4,148,027.094010000100000"
76,4,"40,544,633.851999998000000","4,146,846.906049999900000"
77,4,"40,546,055.442100003000000","4,145,572.839499999800000"
78,4,"40,545,626.282799996000000","4,147,463.822480000100000"
79,4,"40,546,189.554300003000000","4,150,132.656620000000000"
80,4,"40,549,971.520300001000000","4,150,266.768889999900000"
81,2,"40,542,260.064900003000000","4,145,693.540540000000000"
82,2,"40,542,850.158900000000000","4,144,996.156750000100000"
83,2,"40,546,739.414600000000000","4,148,751.300259999900000"
84,1,"40,544,151.047899999000000","4,148,898.823750000000000"
85,1,"40,544,218.104000002000000","4,150,749.573049999800000"
86,1,"40,544,995.955100000000000","4,150,762.984280000000000"
87,1,"40,548,214.649599999000000","4,153,230.650020000100000"
88,1,"40,550,387.268299997000000","4,152,721.023399999800000"
89,1,"40,547,758.667900003000000","4,154,665.651290000000000"
