,flow1,flow2,flow3,flow4,flow5,flow6,flow7,flow8,flow9,flow10,flow11,flow12,flow13,flow14,flow15,flow16,flow17,flow18,flow19,flow20,flow21,flow22,flow23,flow24,flow25,flow26,flow27,flow28,flow29,flow30,flow31,flow32,flow33,flow34,flow35,flow36,flow37,flow38,Coor_X,Coor_Y
1,-0.036973752,-0.403084551,0.208724126,0.080922829,-0.144687217,0.153928735,0.177520083,0.08261062,0.180439599,0.229555348,-0.038437811,0.1092993,0.070648573,-0.290733823,0.444041748,-0.275051412,-0.868548982,-0.826097224,0.595227747,0.884012884,0.168047264,-0.094976268,-0.906697611,0.369303452,0.162347045,0.496214998,-0.6109673,0.15130199,0.095849339,-0.246860324,0.319336254,0.350301574,0.835895967,0.380441416,-0.093158154,0.372103352,-0.178564588,-0.08973994,40484824.27,4072181.966
2,0.167666093,-0.57327565,-0.552809895,0.006374764,0.255017038,0.162637352,0.315446376,0.163395986,0.057583749,0.287123508,-0.651523357,0.112163042,-0.087018844,-0.21889371,-0.088382924,-0.125835455,-0.904091105,0.084420402,0.486300758,0.796510684,-0.266825821,0.167424962,-0.990932094,-0.383797343,0.159844076,0.113714415,0.499596122,0.003241707,0.193660266,-0.542483335,-0.144582948,0.249687802,-0.057027048,0.728588731,0.462335939,1.176237366,0.078184651,0.586506914,40486609.65,4072178.98
3,0.436089922,-0.287186229,-0.492487155,0.362171826,-0.291974349,-0.052724857,0.413594894,0.002145198,0.095103681,0.294040734,-0.311538047,-0.142524127,0.045123106,-0.163956956,1.818584696,-0.064442833,0.040872569,0.024508869,0.085776472,0.436186519,-0.333869448,-0.176066999,-0.64681262,-0.505953281,0.62834691,0.445597228,-0.670453127,0.344226908,-0.479126311,0.031243431,0.72838032,-0.571333665,-0.342057716,-0.072395516,0.059195305,1.262491828,-0.342162176,-0.297890273,40488395.03,4072176.368
4,-0.120388889,-0.866232125,-0.587532856,0.835795572,0.284697837,-0.182706152,0.579750077,-0.610017466,-0.003017502,0.521379873,-0.652344756,-0.311450617,-0.030331458,-0.243242846,0.076209444,1.153915469,-0.569086481,-0.221959039,0.517377595,0.196339069,-0.521232152,-0.184693082,-0.744017329,-0.636229166,-0.17403797,0.607056419,0.420273225,-0.373192837,0.052516769,-0.456540841,0.365157915,-0.392392628,-0.10581212,0.561965705,0.405243912,0.179533758,0.217608851,-0.017728065,40491073.1,4072173.15
5,0.128872516,-0.628950072,0.121661641,0.04180152,0.083933664,0.012773479,-0.369816377,-1.846403199,0.659030557,0.848601343,-0.206264014,0.123456783,0.102908953,0.143943653,0.512046963,-0.084567515,-0.557489725,-0.820102797,0.565359755,0.651611229,-0.107935733,0.129221295,-0.102897301,-0.114523765,0.147465803,0.205576982,0.020077855,0.067362467,-0.077374955,-0.123407434,0.700422052,0.314450411,0.13018731,1.035452846,-0.146795992,-0.012441678,0.000392163,-0.072575449,40492858.48,4072171.471
6,0.847652831,-0.524855879,-0.338984585,0.235040939,0.331064869,-0.144339006,-0.0110035,-0.200942636,-0.085728317,0.590428605,-0.529744809,0.125043096,-0.225400012,-0.309947655,-0.894251164,0.121998961,-1.008463326,-0.367869939,0.223849339,0.339676301,-0.008906544,0.060591487,0.178893405,-0.771621627,0.05661587,0.414116677,0.092510239,-0.332362906,0.042524986,-0.499948356,-0.336713752,0.600775721,0.267380006,1.34443665,-0.38662351,-0.471489491,-0.011613519,-0.386105653,40494643.86,4072170.165
7,0.214703823,-0.783671325,-0.303042871,0.518486411,0.082312622,-0.152624597,0.453542311,-1.679054613,0.29771469,0.98046194,-0.111699469,0.332395592,-0.246173337,-0.247575864,0.554029574,-0.010725762,-0.622240171,0.450223755,0.261949793,0.510226449,-0.112407031,-0.211953174,0.207463259,-0.040339523,0.083533022,0.19513824,-0.107192126,-0.173939517,-0.323168101,-0.798104696,0.15610815,0.54562962,0.393369066,0.561415124,0.626138714,-0.458235783,0.323498805,-0.067586451,40496429.24,4072169.232
8,0.096776295,-0.427518641,-0.386846542,0.761168435,0.578062172,-0.199927935,0.31704733,0.062361816,-0.196909441,0.36611949,-0.787041271,0.133518674,-0.372669795,-0.453857407,0.561819881,-0.111798866,-1.009900015,-0.502313882,-0.011782908,0.57304453,-0.139305576,0.050119182,0.2622198,-0.267035846,-0.482831295,0.089002604,-0.042600008,-0.608685511,-0.482348047,-1.187313093,0.511373866,0.592557053,0.383929536,0.405438836,0.510539425,-0.575913312,0.067301629,-0.22399813,40499107.31,4072168.532
9,-0.008335847,-0.032296812,-0.008715478,-0.000439135,-0.017395303,-0.355847732,0.215325456,0.54254136,1.09904971,0.686274478,-0.450960029,0.123640169,0.396832442,-0.467725244,0.499305731,-0.520383432,-0.267104977,0.444629905,-0.693935941,0.030906422,-0.312639519,0.256530554,-0.573413997,-0.119708276,0.081337688,0.351263607,0.50386753,0.067470922,0.130636903,-0.592243426,-0.422154165,-0.184711587,0.0798399,-1.269387253,0.417835788,0.578189362,-0.017182368,0.400600216,40476796.08,4074419.536
10,0.04542888,-0.20061785,-0.378861604,0.195402266,-0.460445213,0.413047789,0.661645689,0.029619006,0.677786786,0.231682558,0.110699714,-0.26843211,0.453930105,-0.092615942,0.46039823,-0.147931147,0.390534892,-0.115949865,-0.130803459,0.129374344,-0.152819743,-0.075273089,-0.708258719,-0.494707328,-0.572731481,0.335254319,-0.357750893,-0.168191762,0.356652727,-0.245320571,-0.648140396,0.547945354,1.116333032,0.190444167,0.442585743,-0.042149427,-0.738505427,-0.240545443,40484828.22,4074401.481
